tweet_id,name,screen_name,retweet_count,text,created_at,favourite_count,hashtags,status_count,location,source_device
1485687935773016064,Saikrishna,Chitti__Naidu__,0,"@Det_Riley Competition undi full ga opener ga. Statpadding chesthe pothadi. 4-5 openers wait chesthunnaru. 2021 lo Namibia, Afghanistan, Scotland thisesi chudu.",2022-01-24 18:56:21+00:00,1,[],1374,,Twitter for Android
1485687812167020547,GF Baker,GFBaker1,1,Updated Military Coup d’état’s that we know of.  Myanmar Sudan Sierra Leone Haiti New Guinea Burkina Faso Chad Mali Armenia Kazakhstan  Afghanistan (I would throw this one in the mix)  ONE BITE AT A TIME,2022-01-24 18:55:51+00:00,0,[],271,,Twitter Web App
1485687809201479681,Dry Brenuary,brendangetzell,0,@TheOnion Biden ended the occupation of afghanistan at great political cost to himself,2022-01-24 18:55:51+00:00,21,[],56976,,TweetDeck
1485687770026811395,itsCharlie20 (He/Him),its_charlie20,0,"I've had a thought: If Biden does send troops to Eastern Europe/Ukraine as the media is saying, I reckon this will turn into a conflict, and it'll end up like Vietnam 3.0 IMO (Original Vietnam War being 1.0, and Afghanistan being 2.0)",2022-01-24 18:55:41+00:00,0,[],6310,,Twitter Web App
1485687743900491777,an johnson,john44023,0,We have finished with the 20 year money laundering war in Afghanistan to now  one in Europe   NATO needs funds America needs a war to fund its weapons program and covert wars around the world ..,2022-01-24 18:55:35+00:00,1,[],10071,,Twitter Web App
1485687681753534467,genie 'sarollah',phykick,0,"@GBNEWS UK helped to kill 2 million people giving them freedom democracy in Afghanistan Iraq Libya...Syria Yemen, so are they going to do same to NHS staff? or germany's idea....the camps",2022-01-24 18:55:20+00:00,0,[],73910,,Twitter Web App
1485687666746269704,tennessee skepthick,Skepthick,0,@CiroTweeter @seanhannity You talk of people abandoned in Afghanistan but how about all my brothers and sisters that died and all the civilians that were murdered.  If you people actually cared about Americans were would never have invaded Afghanistan.  Sincerely an OEF veteran,2022-01-24 18:55:17+00:00,0,[],47,,Twitter for Android
1485687641345384448,utherparty2018,utherparty2018,0,"@MattWalshBlog This isn't like Afghanistan, dude... this is a matter of international security. What other democratic countries should we throw to the wolves? Should we let China take Taiwan too? What about Sweden, Germany and the UK? How many should we let fall under fascist occupation???",2022-01-24 18:55:11+00:00,1,[],142,,Twitter Web App
1485687513440141314,Holly,HollyBooBeau,0,@IsaiahLCarter There are a group of high schoolers from Sacramento stuck in Afghanistan.  The media has been basically silent on it!!,2022-01-24 18:54:40+00:00,0,[],1563,,Twitter for iPhone
1485687471065407488,samir sayed,samiralisayed,0,@BhavikaKapoor5 It is not in the quran but its in the hadits. Apostacy was considered treason those days because they were in a state of war all the time n many enemies would convert to infiltrate n then betray. Even today some countries hve apostacy laws but not in practice unless Afghanistan.,2022-01-24 18:54:30+00:00,0,[],617,,Twitter for Android
1485687437066076160,nightschool,richgjaci,0,@TomiLahren Then why did you bitch about #Afghanistan?,2022-01-24 18:54:22+00:00,0,"[{'text': 'Afghanistan', 'indices': [41, 53]}]",2092,,Twitter Web App
1485687430506237952,Mishi Y,MishiY10,0,"@Whoknow01623687 @myldn Depends who was involved and whether they should have even been here, then the person being prosecuted should be Priti Patel and whoever helped them get here from Syria, Afghanistan etc. Let's not forget the British people being shot and attacked with sickle's abroad, it's clear",2022-01-24 18:54:20+00:00,0,[],34,,Twitter Web App
1485687411795505152,Deb Piro,DebPiro,0,@Qturmp17MAGA @seanhannity Dump made the deal w/ The Taliban to leave Afghanistan in May,2022-01-24 18:54:16+00:00,0,[],1404,,Twitter for iPhone
1485687337065627656,Shane,Shane78173555,0,"@RobertFHyde1 @Dar5131 okay but hasnt there been really 3, if not more? I got Yemen, Afghanistan and now Ukraine on my list.",2022-01-24 18:53:58+00:00,0,[],4367,,Twitter Web App
1485687332741148672,deepsea,DeepseaSD,0,@TCDriller99 @kathy_craft @NikkiHaley What happened in World War II and Vietnam was nothing like what happened in Afghanistan. You could still disagree with the Republicans but I met that was a botched withdrawal and it cost the lives of US service members,2022-01-24 18:53:57+00:00,1,[],8659,,Twitter for iPhone
1485687289552551936,Adam,AdamMackintosh9,0,Wallpapergate and partygate and the pets over people debacle during the Afghanistan crisis.,2022-01-24 18:53:47+00:00,0,[],2169,,Twitter for Android
1485687262427992068,King Gilbert,KingGil10061780,0,"I remember when Biden surrendered Afghanistan, I said to my friend ""if you have a child in Ukraine or Taiwan, bring them home now!"" Biden owns this with his lack of strength in Afghanistan",2022-01-24 18:53:40+00:00,2,[],1300,,Twitter for Android
1485687239560482816,The Shart of Fugue,shartnado42069,0,@memeforcetoo @MollyJongFast @OsitaNwanevu tune on foreign wars because Daddy proved to be too big a pussy to actually leave Afghanistan like he promised.   Now your turn: What’s the “context” for why a dude who repeatedly has expressed sexual attraction to children (including his daughter) would be hanging out w homegirl,2022-01-24 18:53:35+00:00,0,[],5483,,Twitter for iPhone
1485687212301860867,Mike Fuxherd,fuxherd,0,"@DemsAreGarbage1 @CarterL97869697 @The_FJC So we should allow Russia to take Ukraine? That makes no sense at all, are you insane? This soon after the Cold War? These are still our allies in the Ukraine WE have them that land. We’ve evacuated Afghanistan. Trumps brand was manufactured in China.",2022-01-24 18:53:28+00:00,0,[],5592,,Twitter for iPhone
1485687208128524290,Ben 🇬🇧🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿,BWoodzy99,0,"Fundamentally in 20 yrs time Afghanistan will either be like Saudi Arabia or like Iran.  Neither perfect. Both flawed. But between the two I chose the Saudi option of dialogue, cooperation and negotiation every time.",2022-01-24 18:53:27+00:00,0,[],12098,,Twitter for Android
1485687201077862406,NettoBrasil,NettoBrasil2,0,"@williamnee @NeysunM It was just a US ploy to get the Americans out of Afghanistan. The objective was to break the ""European Union""...",2022-01-24 18:53:26+00:00,0,[],75,,Twitter Web App
1485687191665840135,james,OS41900301,0,"@SenBewley @GabrielUy46 @POTUS Please speed up siv as well change the siv age restrictions up to 25 years. US and Afghan law is different in Afghanistan up to 25 years is like a child, can not live alone without a family  And siv Case has a lot of problems The process is very slow.And start a visa outside Afg.",2022-01-24 18:53:23+00:00,0,[],3809,,Twitter for Android
1485687185265537024,mary,marypayumo,0,"Dancing Boys of Afghanistan  What the fuck, man ",2022-01-24 18:53:22+00:00,0,[],15635,,Twitter for iPhone
